Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
James Harden,Rockets,2017-2018,REG,60,0.579,0.437,0.353,0.376,0,34.76,9.78,4.19,51.11,0.16,15.73,13.13,17.86
Anthony Davis,Pelicans,2017-2018,REG,59,0.67,0.412,0.369,0.344,0,51.38,20.91,16.09,11.27,0.34,9.24,6.61,12.2
Giannis Antetokounmpo,Bucks,2017-2018,REG,64,0.668,0.359,0.345,0.297,0,58.28,16.39,16.06,9.19,0.08,8.33,5.46,11.57
LeBron James,Cavaliers,2017-2018,REG,68,0.698,0.43,0.374,0.372,0,50.7,11.67,11.98,25.58,0.08,11.09,7.96,14.84
Damian Lillard,Trail Blazers,2017-2018,REG,61,0.53,0.421,0.469,0.379,0,33.19,9.88,12.56,44.37,0,15.71,14.02,17.07
Kevin Durant,Warriors,2017-2018,REG,59,0.714,0.486,0.485,0.433,0,24.03,23.85,18.28,33.55,0.28,15.33,13.37,17.46
Stephen Curry,Warriors,2017-2018,REG,48,0.603,0.537,0.605,0.432,0,23.46,8.1,10.4,57.07,0.97,18.41,16.56,20.23
Russell Westbrook,Thunder,2017-2018,REG,68,0.579,0.381,0.395,0.284,0,41.94,16.94,21.46,19.58,0.07,11.52,8.85,13.68
DeMarcus Cousins,Pelicans,2017-2018,REG,46,0.573,0.431,0.276,0.358,0,53.15,6.06,6.9,33.53,0.36,11.77,8.98,14.25
Devin Booker,Suns,2017-2018,REG,54,0.519,0.392,0.451,0.387,0,27.42,22.49,13.66,36.05,0.38,15.12,13.67,16.22
Kyrie Irving,Celtics,2017-2018,REG,60,0.573,0.473,0.545,0.41,0,34.22,17.11,11.32,37.26,0.09,14.44,13.01,15.83
Joel Embiid,76ers,2017-2018,REG,56,0.624,0.442,0.404,0.306,0,41.87,27.88,10.26,20,0,11.06,8.51,13.48
DeMar DeRozan,Raptors,2017-2018,REG,68,0.587,0.45,0.429,0.326,0,31.5,29.61,18.59,19.9,0.41,12.98,11.01,14.69
Victor Oladipo,Pacers,2017-2018,REG,63,0.634,0.396,0.428,0.37,0,32.41,12.05,23.48,31.89,0.17,14.64,12.14,16.88
Bradley Beal,Wizards,2017-2018,REG,69,0.616,0.435,0.417,0.376,0,28.6,17.93,18.32,35.07,0.08,15,12.94,16.77
Lou Williams,Clippers,2017-2018,REG,66,0.532,0.454,0.421,0.363,0.25,31.58,15.48,11.21,41.37,0.36,15.24,13.34,16.71
Kemba Walker,Hornets,2017-2018,REG,67,0.497,0.392,0.446,0.398,0,29.01,12.13,15.61,42.66,0.59,15.92,14.54,16.97
Kristaps Porzingis,Knicks,2017-2018,REG,48,0.52,0.419,0.422,0.402,0,25.31,32.51,16.54,25.2,0.45,14.28,13.04,15.25
LaMarcus Aldridge,Spurs,2017-2018,REG,62,0.631,0.422,0.397,0.313,0,42.45,30.56,19.58,7.32,0.09,9.99,7.93,12.04
Jimmy Butler,Timberwolves,2017-2018,REG,56,0.6,0.438,0.396,0.359,0,36.85,25.4,15.76,21.77,0.23,12.26,10.08,14.23
Paul George,Thunder,2017-2018,REG,67,0.59,0.362,0.327,0.413,0,25.91,13.44,15.12,45.18,0.35,16.25,14.39,17.69
CJ McCollum,Trail Blazers,2017-2018,REG,67,0.476,0.46,0.443,0.417,0,29.29,20.67,17.97,32.08,0,14.47,13.87,14.97
