AP NAME,SSID,MAC,Site,Building,Room
Res Halls,,,,,
AP_ACK_102,TMC_RESIDENT,f0:9f:c2:3c:aa:c8,Main,ACKR,ACKR 102
AP_ACK_105,TMC_RESIDENT,f0:9f:c2:3c:aa:c6,Main,ACKR,ACKR 105
AP_ACK_112,TMC_RESIDENT,f0:9f:c2:3c:ab:3f,Main,ACKR,ACKR 112
AP_ACK_119,TMC_RESIDENT,f0:9f:c2:3c:ab:69,Main,ACKR,ACKR 119
AP_ACK_126,TMC_RESIDENT,f0:9f:c2:3c:ac:13,Main,ACKR,ACKR 126
AP_ACK_129,TMC_RESIDENT,f0:9f:c2:3c:ac:12,Main,ACKR,ACKR 129
AP_ACK_202,TMC_RESIDENT,f0:9f:c2:3c:a9:ef,Main,ACKR,ACKR 202
AP_ACK_205,TMC_RESIDENT,f0:9f:c2:3c:ab:73,Main,ACKR,ACKR 205
AP_ACK_207,TMC_RESIDENT,f0:9f:c2:3c:ab:ea,Main,ACKR,ACKR 207
AP_ACK_210,TMC_RESIDENT,f0:9f:c2:39:b1:18,Main,ACKR,ACKR 210
AP_ACK_212,TMC_RESIDENT,f0:9f:c2:39:b0:69,Main,ACKR,ACKR 212
AP_ACK_219,TMC_RESIDENT,f0:9f:c2:39:b0:22,Main,ACKR,ACKR 219
AP_ACK_221,TMC_RESIDENT,f0:9f:c2:39:af:17,Main,ACKR,ACKR 221
AP_ACK_224,TMC_RESIDENT,f0:9f:c2:3c:ac:39,Main,ACKR,ACKR 224
AP_ACK_226,TMC_RESIDENT,f0:9f:c2:39:b1:0b,Main,ACKR,ACKR 226
AP_ACK_229,TMC_RESIDENT,f0:9f:c2:3c:ab:dc,Main,ACKR,ACKR 229
AP_ACK_302,TMC_RESIDENT,f0:9f:c2:3c:a9:84,Main,ACKR,ACKR 302
AP_ACK_305,TMC_RESIDENT,f0:9f:c2:3c:a9:a7,Main,ACKR,ACKR 305
