CMU APs Sheet - Sheet1
Name,Model,Part #,PHY,Ch,Xmit dBm,Ga in dBm,LAN MAC,Switch,Port
wap_firs105B,Aruba AP 215,AP-215,"11n
 11c","11
 149","22.5
 30.5","3.5
 4.5",F0:5C:19:C2:A9:94,,
wap_firs104,Aruba AP 215,AP-215,"11n
 11c","6
 36","22.5
 26.0","3.5
 4.5",F0:5C:19:C2:A9:8A,,
wap_sau091,Aruba AP 215,AP-215,"11n
 11c","6
 153","12.0
 27.0","3.5
 4.5",F0:5C:19:C2:A8:B6,,
wap_sau086a,Aruba AP 215,AP-215,"11n
 11c","1
 149","18.0
 27.0","3.5
 4.5",F0:5C:19:C2:A8:26,,
wap_sau088,Aruba AP 215,AP-215,"11n
 11c","6
 36","22.5
 26.0","3.5
 4.5",F0:5C:19:C2:A8:22,,
wap_sau083,Aruba AP 215,AP-215,"11n
 11c","11
 44","9.0
 26.0","3.5
 4.5",F0:5C:19:C2:A8:2C,,
wap_sau076,Aruba AP 215,AP-215,"11n
 11c","11
 149","18.0
 18.0","3.5
 4.5",F0:5C:19:C2:A8:4A,,
wap_sau092,Aruba AP 215,AP-215,"11n
 11c","11
 44","21.0
 26.0","3.5
 4.5",F0:5C:19:C2:A8:D8,,
wap_sau074,Aruba AP 215,AP-215,"11n
 11c","11
 36","12.0
 26.0","3.5
 4.5",F0:5C:19:C2:B3:5A,,
wap_sau079,Aruba AP 215,AP-215,"11n
 11c","1
 36","9.0
 26.0","3.5
 4.5",F0:5C:19:C2:A8:AC,,
wap_sau073,Aruba AP 215,AP-215,"11n
 11c","6
 149","12.0
 15.0","3.5
 4.5",F0:5C:19:C2:A8:2A,,
wap_sau096,Aruba AP 215,AP-215,"11n
 11c","1
 36","9.0
 26.0","3.5
 4.5",F0:5C:19:C2:B3:38,,
wap_sau097,Aruba AP 215,AP-215,"11n
 11c","11
 149","12.0
 30.0","3.5
 4.5",F0:5C:19:C2:B3:F8,,
wap_sau080,Aruba AP 215,AP-215,"11n
 11c","1
 149","18.0
 30.0","3.5
 4.5",F0:5C:19:C2:A8:7C,,
wap_sau093,Aruba AP 215,AP-215,"11n
 11c","1
 161","9.0
 27.0","3.5
 4.5",F0:5C:19:C2:B4:0C,,
wap_sauRecCenterLobby,Aruba AP 215,AP-215,"11n
 11c","11
 36","22.5
 26.0","3.5
 4.5",F0:5C:19:C2:A9:E4,,
wap_sau145,Aruba AP 225,AP-225,"11n
 11c","6
 149","18.0
 30.0","3.5
 4.5",84:D4:7E:C5:DF:32,,
wap_sau165,Aruba AP 225,AP-225,"11n
 11c","11
 36","9.0
 24.0","3.5
 4.5",84:D4:7E:C5:DF:2A,,
wap_sauBronsonEast,Aruba AP 324,AP-324,"11n
 11c","6
 48","9.0
 15.0","5.5
 5.5",F0:5C:19:C9:F3:B4,,
wap_sau120,Aruba AP 215,AP-215,"11n
 11c","11
 149","9.0
 27.0","3.5
 4.5",F0:5C:19:C2:A8:74,,
wap_sau186,Aruba AP 215,AP-215,"11n
 11c","6
 44","9.0
 26.0","3.5
 4.5",F0:5C:19:C2:A8:28,,
wap_sau154,Aruba AP 215,AP-215,"11n
 11c","1
 149","9.0
 12.0","3.5
 4.5",F0:5C:19:C2:A9:E2,,
wap_sau156,Aruba AP 215,AP-215,"11n
 11c","1
 149","9.0
 12.0","3.5
 4.5",F0:5C:19:C2:B0:5A,,
wap_sau117,Aruba AP 215,AP-215,"11n
 11c","11
 36","9.0
 26.0","3.5
 4.5",F0:5C:19:C2:A9:0C,,
wap_sau143,Aruba AP 215,AP-215,"11n
 11c","1
 36","22.5
 26.0","3.5
 4.5",F0:5C:19:C2:A9:36,,
wap_sau161,Aruba AP 215,AP-215,"11n
 11c","11
 48","12.0
 26.0","3.5
 4.5",F0:5C:19:C2:AC:18,,
wap_sau158,Aruba AP 215,AP-215,"11n
 11c","6
 36","12.0
 12.0","3.5
 4.5",F0:5C:19:C2:AC:9E,,
wap_sau163,Aruba AP 215,AP-215,"11n
 11c","6
 157","9.0
 21.0","3.5
 4.5",F0:5C:19:C2:A8:86,,
wap_sau162,Aruba AP 215,AP-215,"11n
 11c","1
 44","12.0
 24.0","3.5
 4.5",F0:5C:19:C2:A9:D2,,
wap_sauPool,Aruba AP 224,AP-224,"11n
 11c","11
 36","24.0
 27.0","6.0
 5.0",84:D4:7E:C7:14:18,,
wap_sau160,Aruba AP 215,AP-215,"11n
 11c","1
 149","9.0
 30.0","3.5
 4.5",F0:5C:19:C2:A9:FE,,
wap_sau155,Aruba AP 325,AP-325,"11n
 11c","11
 36","9.0
 12.0","3.5
 4.5",F0:5C:19:CA:0E:00,,
wap_sau173,Aruba AP 215,AP-215,"11n
 11c","1
 157","18.0
 27.0","3.5
 4.5",F0:5C:19:C2:A8:44,,
wap_sau161a,Aruba AP 215,AP-215,"11n
 11c","11
 161","9.0
 27.0","3.5
 4.5",F0:5C:19:C2:A9:D8,,
wap_sau157,Aruba AP 215,AP-215,"11n
 11c","6
 44","9.0
 24.0","3.5
 4.5",F0:5C:19:C2:A8:D2,,
wap_sauBronsonWest,Aruba AP 324,AP-324,"11n
 11c","6
 161","9.0
 12.0","5.5
 5.5",F0:5C:19:C9:F3:6E,,
wap_sau190,Aruba AP 215,AP-215,"11n
 11c","11
 36","18.0
 21.0","3.5
 4.5",F0:5C:19:C2:A8:E2,,
wap_sauTennisCourts,Aruba AP 215,AP-215,"11n
 11c","11
 149","18.0
 27.0","3.5
 4.5",F0:5C:19:C2:A8:D6,,
wap_sau153,Aruba AP 215,AP-215,"11n
 11c","11
 36","12.0
 24.0","3.5
 4.5",F0:5C:19:C2:A9:DA,,
wap_sau151a,Aruba AP 215,AP-215,"11n
 11c","1
 149","21.0
 30.0","3.5
 4.5",F0:5C:19:C2:A9:EC,,
wap_sau240,Aruba AP 215,AP-215,"11n
 11c","1
 44","12.0
 26.0","3.5
 4.5",F0:5C:19:C2:A8:9A,,
wap_sau203,Aruba AP 215,AP-215,"11n
 11c","1
 36","9.0
 24.0","3.5
 4.5",F0:5C:19:C2:B3:8C,,
