PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Aaron Brooks,MIN,33,32,19,13,5.9,2.3,0.9,2.2,40.6,0.3,1,35.5,0.3,0.3,72.7,0.2,0.3,0.5,0.6,0.3,0.2,0,0.9,4.1,0,0,-2.3
Aaron Gordon,ORL,22,58,19,39,32.9,17.6,6.5,14.9,43.4,2,5.9,33.6,2.7,3.9,69.8,1.5,6.4,7.9,2.3,1.8,1,0.8,1.9,34.1,17,0,-1.6
Aaron Harrison,DAL,23,9,2,7,25.9,6.7,2.1,7.7,27.5,1,4.8,20.9,1.4,1.9,76.5,0.4,2.2,2.7,1.2,0.3,1,0.2,3,15,0,0,-8
Aaron Jackson,HOU,32,1,0,1,34.5,8,3,9,33.3,1,4,25,1,2,50,2,1,3,1,1,0,0,4,12.1,0,0,-10
Abdel Nader,BOS,24,48,33,15,10.9,3,1,3.1,33.6,0.5,1.4,35.4,0.5,0.8,59,0.3,1.2,1.5,0.5,0.7,0.3,0.2,0.9,6.5,0,0,-2.3
Adreian Payne,ORL,27,5,0,5,8.5,4.2,1.4,2,70,0.4,0.6,66.7,1,1.2,83.3,0.4,1.4,1.8,0,0.4,0.4,0,1.2,7.2,0,0,-2.6
Al Horford,BOS,32,72,47,25,31.6,12.9,5.1,10.5,48.9,1.3,3.1,42.9,1.3,1.7,78.3,1.4,5.9,7.4,4.7,1.8,0.6,1.1,1.9,32,15,0,4.8
Al Jefferson,IND,33,36,17,19,13.4,7,3.1,5.8,53.4,0,0.1,0,0.8,1,83.3,0.8,3.1,4,0.8,0.6,0.4,0.6,1.8,15.7,1,0,-0.3
Al-Farouq Aminu,POR,27,69,40,29,30,9.3,3.3,8.4,39.5,1.8,4.9,36.9,0.9,1.2,73.8,1.4,6.2,7.6,1.2,1.1,1.1,0.6,2,24.3,9,0,3.2
Alan Williams,PHX,25,5,1,4,14.1,4,1.4,3.6,38.9,0,0,0,1.2,1.8,66.7,0.6,3.8,4.4,1.6,1.4,1,0.2,2.6,13.9,0,0,0.2
Alec Burks,UTA,26,64,37,27,16.5,7.7,2.7,6.5,41.1,0.7,2.2,33.1,1.7,1.9,86.3,0.3,2.7,3,1,0.9,0.6,0.1,1.2,14.1,0,0,-0.2
Alec Peters,PHX,23,20,2,18,11.2,4.1,1.4,3.7,37.8,0.9,2.9,31,0.4,0.5,80,0.4,1.5,1.9,0.6,0.2,0.1,0.1,0.7,7.6,0,0,1.8
Alex Abrines,OKC,24,75,42,33,15.1,4.7,1.5,3.9,39.5,1.1,2.9,38,0.5,0.6,84.8,0.3,1.2,1.5,0.4,0.3,0.5,0.1,1.7,8.6,0,0,0.6
Alex Caruso,LAL,24,37,16,21,15.2,3.6,1.4,3.1,43.1,0.4,1.2,30.2,0.6,0.8,70,0.4,1.4,1.8,2,1.1,0.6,0.3,1.4,10.3,0,0,-0.1
Alex Len,PHX,24,69,20,49,20.2,8.5,3.1,5.5,56.6,0,0,33.3,2.3,3.3,68.4,2.5,5,7.5,1.2,1.1,0.4,0.9,2.3,22,12,0,-3.7
Alex Poythress,IND,24,25,10,15,4.2,1,0.4,1,42.3,0.2,0.4,36.4,0,0,0,0.3,0.4,0.7,0.1,0.1,0.1,0,0.6,2.4,0,0,-0.8
Alfonzo McKinnie,TOR,25,14,13,1,3.8,1.5,0.6,1.1,53.3,0.2,0.6,33.3,0.1,0.2,66.7,0.1,0.4,0.5,0.1,0.2,0.1,0.1,0.6,2.4,0,0,-0.9
Allen Crabbe,BKN,26,75,25,50,29.3,13.2,4.5,11,40.7,2.7,7.1,37.8,1.5,1.8,85.2,0.4,3.9,4.3,1.6,1,0.6,0.5,2.2,23,0,0,-1
Amir Johnson,PHI,31,74,47,27,15.8,4.6,1.9,3.5,53.8,0.1,0.4,31.3,0.7,1.1,61.2,1.7,2.8,4.5,1.6,0.7,0.6,0.6,2.6,15.2,1,0,0.1
