name,guard,forward,center
James Harden,1,0,0
LeBron James,1,0,0
Damian Lillard,1,0,0
Stephen Curry,1,0,0
Russell Westbrook,1,0,0
Devin Booker,1,0,0
Kyrie Irving,1,0,0
Victor Oladipo,1,0,0
DeMar DeRozan,1,0,0
Bradley Beal,1,0,0
Lou Williams,1,0,0
Jimmy Butler,1,0,0
Kemba Walker,1,0,0
CJ McCollum,1,0,0
Donovan Mitchell,1,0,0
MarShon Brooks,1,0,0
Klay Thompson,1,0,0
John Wall,1,0,0
Tyreke Evans,1,0,0
Dennis Schroder,1,0,0
Jrue Holiday,1,0,0
Chris Paul,1,0,0
Eric Gordon,1,0,0
Jeremy Lin,1,0,0
Evan Fournier,1,0,0
Eric Bledsoe,1,0,0
Tim Hardaway Jr.,1,0,0
Gary Harris,1,0,0
Goran Dragic,1,0,0
JJ Redick,1,0,0
Mike Conley,1,0,0
Zach LaVine,1,0,0
Jamal Murray,1,0,0
Kyle Lowry,1,0,0
Brandon Ingram,1,0,0
Ben Simmons,1,0,0
Will Barton,1,0,0
D'Angelo Russell,1,0,0
Dennis Smith Jr.,1,0,0
Isaiah Thomas,1,0,0
Austin Rivers,1,0,0
Rodney Hood,1,0,0
Reggie Jackson,1,0,0
Jaylen Brown,1,0,0
Dion Waiters,1,0,0
Avery Bradley,1,0,0
Jeff Teague,1,0,0
Jordan Clarkson,1,0,0
Buddy Hield,1,0,0
Kris Dunn,1,0,0
Kentavious Caldwell-Pope,1,0,0
Allen Crabbe,1,0,0
Josh Jackson,1,0,0
Ricky Rubio,1,0,0
Malcolm Brogdon,1,0,0
Jeremy Lamb,1,0,0
Kent Bazemore,1,0,0
Trey Burke,1,0,0
Wesley Matthews,1,0,0
Elfrid Payton,1,0,0
Spencer Dinwiddie,1,0,0
E'Twaun Moore,1,0,0
Darren Collison,1,0,0
Patrick Beverley,1,0,0
Justin Holiday,1,0,0
Marco Belinelli,1,0,0
Gerald Green,1,0,0
Caris LeVert,1,0,0
Courtney Lee,1,0,0
Andre Ingram,1,0,0
Bogdan Bogdanovic,1,0,0
Tyler Johnson,1,0,0
Trevor Ariza,1,0,0
J.J. Barea,1,0,0
Nicolas Batum,1,0,0
De'Aaron Fox,1,0,0
Dwyane Wade,1,0,0
Reggie Bullock,1,0,0
Terry Rozier,1,0,0
Wayne Ellington,1,0,0
Dillon Brooks,1,0,0
Ish Smith,1,0,0
Joe Harris,1,0,0
Damion Lee,1,0,0
Jamal Crawford,1,0,0
Yogi Ferrell,1,0,0
D.J. Augustin,1,0,0
Marcus Smart,1,0,0
Lonzo Ball,1,0,0
Corey Brewer,1,0,0
Patty Mills,1,0,0
CJ Miles,1,0,0
George Hill,1,0,0
Tyrone Wallace,1,0,0
Mario Hezonja,1,0,0
Milos Teodosic,1,0,0
Andrew Harrison,1,0,0
Quinn Cook,1,0,0
Mike James,1,0,0
Wayne Selden,1,0,0
Lance Stephenson,1,0,0
Kyle Korver,1,0,0
Troy Daniels,1,0,0
Manu Ginobili,1,0,0
Cameron Payne,1,0,0
Terrence Ross,1,0,0
Shabazz Napier,1,0,0
Emmanuel Mudiay,1,0,0
Fred VanVleet,1,0,0
Isaiah Canaan,1,0,0
Danny Green,1,0,0
Jonathan Gibson,1,0,0
Garrett Temple,1,0,0
Devin Harris,1,0,0
Jerian Grant,1,0,0
Derrick Rose,1,0,0
JR Smith,1,0,0
Rajon Rondo,1,0,0
Evan Turner,1,0,0
Dante Exum,1,0,0
Dejounte Murray,1,0,0
Delon Wright,1,0,0
Aaron Jackson,1,0,0
Antonio Blakeney,1,0,0
Frank Mason,1,0,0
Cory Joseph,1,0,0
Josh Hart,1,0,0
Jerryd Bayless,1,0,0
Tyler Ulis,1,0,0
Alec Burks,1,0,0
Mario Chalmers,1,0,0
Tony Parker,1,0,0
Luke Kennard,1,0,0
Ben McLemore,1,0,0
Jarrett Jack,1,0,0
Ian Clark,1,0,0
Dwight Buycks,1,0,0
Nick Young,1,0,0
Tyler Dorsey,1,0,0
Tomas Satoransky,1,0,0
Markelle Fultz,1,0,0
Bryn Forbes,1,0,0
Raymond Felton,1,0,0
Tony Snell,1,0,0
Shelvin Mack,1,0,0
Joe Johnson,1,0,0
Malik Monk,1,0,0
Aaron Harrison,1,0,0
Isaiah Taylor,1,0,0
Danuel House,1,0,0
Shaquille Harrison,1,0,0
Jordan Crawford,1,0,0
Josh Gray,1,0,0
Sean Kilpatrick,1,0,0
Jodie Meeks,1,0,0
T.J. McConnell,1,0,0
Malcolm Delaney,1,0,0
Isaiah Whitehead,1,0,0
Justin Anderson,1,0,0
Langston Galloway,1,0,0
Kobi Simmons,1,0,0
Rodney Purvis,1,0,0
Andre Iguodala,1,0,0
Frank Ntilikina,1,0,0
Xavier Rathan-Mayes,1,0,0
Timothe Luwawu-Cabarrot,1,0,0
Shaun Livingston,1,0,0
C.J. Williams,1,0,0
Norman Powell,1,0,0
Wade Baldwin IV,1,0,0
Vince Carter,1,0,0
Pat Connaughton,1,0,0
DeAndre' Bembry,1,0,0
Brandon Jennings,1,0,0
Jamel Artis,1,0,0
Tyus Jones,1,0,0
Rodney McGruder,1,0,0
Shabazz Muhammad,1,0,0
Andre Roberson,1,0,0
Jameer Nelson,1,0,0
Ramon Sessions,1,0,0
Jawun Evans,1,0,0
Alex Abrines,1,0,0
Tony Allen,1,0,0
Jaylen Morris,1,0,0
Michael Carter-Williams,1,0,0
Jose Calderon,1,0,0
Raul Neto,1,0,0
Iman Shumpert,1,0,0
Nik Stauskas,1,0,0
Treveon Graham,1,0,0
Matthew Dellavedova,1,0,0
Shane Larkin,1,0,0
Torrey Craig,1,0,0
Tyler Ennis,1,0,0
Damyean Dotson,1,0,0
Glenn Robinson III,1,0,0
Sterling Brown,1,0,0
Patrick McCaw,1,0,0
Joe Young,1,0,0
Sindarius Thornwell,1,0,0
RJ Hunter,1,0,0
Marquis Teague,1,0,0
Alex Caruso,1,0,0
Kay Felder,1,0,0
Malachi Richardson,1,0,0
Milton Doyle,1,0,0
Walter Lemon Jr.,1,0,0
Arron Afflalo,1,0,0
Monte Morris,1,0,0
David Stockton,1,0,0
Jason Terry,1,0,0
Derrick White,1,0,0
Malik Beasley,1,0,0
Kyle Collinsworth,1,0,0
Terrance Ferguson,1,0,0
Derrick Jones Jr.,1,0,0
Naz Mitrou-Long,1,0,0
Gary Payton II,1,0,0
Jabari Bird,1,0,0
Davon Reed,1,0,0
Tim Frazier,1,0,0
Gian Clavell,1,0,0
James Young,1,0,0
Briante Weber,1,0,0
Josh Magette,1,0,0
Bobby Brown,1,0,0
Ron Baker,1,0,0
Marcus Paige,1,0,0
Aaron Brooks,1,0,0
Josh Huestis,1,0,0
Brandon Paul,1,0,0
Lorenzo Brown,1,0,0
Rashad Vaughn,1,0,0
John Holland,1,0,0
Edmond Sumner,1,0,0
Ryan Arcidiacono,1,0,0
Daniel Hamilton,1,0,0
Quincy Pondexter,1,0,0
Derrick Walton Jr.,1,0,0
DeAndre Liggins,1,0,0
Damien Wilkins,1,0,0
Larry Drew II,1,0,0
Matt Williams Jr.,1,0,0
Furkan Korkmaz,1,0,0
Marcus Georges-Hunt,1,0,0
Antonius Cleveland,1,0,0
Tim Quarterman,1,0,0
Markel Brown,1,0,0
Darrun Hilliard,1,0,0
Demetrius Jackson,1,0,0
Kadeem Allen,1,0,0
Reggie Hearn,1,0,0
PJ Dozier,1,0,0
Scotty Hopson,1,0,0
Julyan Stone,1,0,0
Jacob Pullen,1,0,0
Vander Blue,1,0,0
London Perrantes,1,0,0
Xavier Munford,1,0,0
Charles Cooke,1,0,0
Nate Wolters,1,0,0
Trey McKinney-Jones,1,0,0
Jarell Eddie,1,0,0
Luis Montero,1,0,0
Xavier Silas,1,0,0
