name,TEAM,AGE,RAFGM,RAFGA,RAFGpct,pfgm,pfg,pfgpct,mfgm,mfga,mfgpct,L3FGM,L3FGA,L3FGpct,R3FGM,R3FGA,R3FGpct,T3FGM,T3FGA,T3FGpct
RJ Hunter,HOU,24,3,4,75,0,1,0,1,1,100,1,1,100,0,1,0,2,12,16.7
Juancho Hernangomez,DEN,22,13,19,68.4,1,5,20,1,1,100,3,5,60,4,12,33.3,7,33,21.2
Okaro White,CLE,25,2,4,50,0,0,0,1,1,100,1,4,25,0,0,0,3,7,42.9
Justin Patton,MIN,20,0,0,0,0,1,0,1,1,100,0,0,0,0,0,0,0,0,0
Vincent Hunter,MEM,23,2,3,66.7,0,1,0,1,1,100,-,-,-,-,-,-,0,0,0
Jacob Pullen,PHI,28,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,1,0
Alfonzo McKinnie,TOR,25,2,2,100,2,3,66.7,1,1,100,2,4,50,0,1,0,1,4,25
Markel Brown,HOU,26,0,1,0,0,0,0,1,1,100,0,0,0,0,0,0,1,5,20
Matt Williams Jr.,MIA,24,0,0,0,0,0,0,1,1,100,0,1,0,0,0,0,1,4,25
Joel Bolomboy,MIL,24,2,4,50,0,0,0,1,1,100,0,0,0,0,0,0,0,1,0
Andrew Bogut,LAL,33,14,18,77.8,2,6,33.3,1,1,100,0,0,0,0,0,0,0,0,0
Ryan Arcidiacono,CHI,24,5,5,100,1,3,33.3,2,2,100,4,6,66.7,3,5,60,2,19,10.5
Jonathan Gibson,BOS,30,5,6,83.3,1,3,33.3,2,2,100,1,1,100,0,0,0,5,11,45.5
Torrey Craig,DEN,27,40,66,60.6,0,7,0,5,6,83.3,5,11,45.5,3,11,27.3,9,33,27.3
Tyler Cavanaugh,ATL,24,24,44,54.5,5,11,45.5,6,8,75,4,15,26.7,9,18,50,19,56,33.9
Darrun Hilliard,SAS,25,1,3,33.3,1,6,16.7,3,4,75,0,1,0,0,0,0,0,5,0
Dakari Johnson,OKC,22,14,24,58.3,3,8,37.5,5,7,71.4,0,0,0,0,0,0,0,0,0
Bobby Brown,HOU,33,4,7,57.1,0,5,0,4,6,66.7,2,2,100,0,1,0,9,37,24.3
Omer Asik,CHI,31,7,18,38.9,0,1,0,2,3,66.7,0,0,0,0,0,0,0,0,0
Meyers Leonard,POR,26,17,22,77.3,7,13,53.8,11,17,64.7,2,3,66.7,0,1,0,9,22,40.9
Jamil Wilson,LAC,27,6,8,75,0,2,0,5,8,62.5,1,2,50,1,5,20,25,56,44.6
Terrance Ferguson,OKC,20,20,29,69,1,5,20,9,15,60,19,36,52.8,7,26,26.9,14,58,24.1
Stephen Curry,GSW,30,113,174,64.9,25,59,42.4,78,130,60,16,45,35.6,10,29,34.5,186,419,44.4
Briante Weber,MEM,25,7,13,53.8,4,12,33.3,4,7,57.1,0,0,0,0,1,0,4,10,40
Omri Casspi,GSW,29,77,113,68.1,25,58,43.1,8,14,57.1,2,2,100,2,3,66.7,6,16,37.5
Kawhi Leonard,SAS,26,17,23,73.9,6,21,28.6,18,32,56.3,0,1,0,1,4,25,10,30,33.3
Mike Scott,WAS,29,70,104,67.3,51,99,51.5,89,158,56.3,11,23,47.8,8,20,40,47,119,39.5
Kenneth Faried,DEN,28,54,93,58.1,17,45,37.8,5,9,55.6,0,0,0,0,0,0,0,0,0
Channing Frye,LAL,35,34,43,79.1,10,16,62.5,21,38,55.3,2,7,28.6,3,10,30,34,97,35.1
Nigel Hayes,SAC,23,1,4,25,0,2,0,6,11,54.5,2,7,28.6,2,2,100,0,7,0
Ryan Anderson,HOU,30,46,75,61.3,4,18,22.2,26,48,54.2,5,16,31.3,10,21,47.6,116,302,38.4
Chris Paul,HOU,33,55,87,63.2,72,153,47.1,97,180,53.9,9,28,32.1,18,28,64.3,116,318,36.5
Darius Miller,NOP,28,9,15,60,17,35,48.6,43,80,53.8,17,29,58.6,24,47,51.1,106,280,37.9
Trey Burke,NYK,25,46,64,71.9,20,49,40.8,89,166,53.6,5,10,50,2,5,40,31,87,35.6
Darrell Arthur,DEN,30,6,7,85.7,0,2,0,8,15,53.3,1,4,25,1,1,100,6,18,33.3
Luke Babbitt,MIA,28,6,11,54.5,8,17,47.1,17,32,53.1,12,26,46.2,6,19,31.6,42,110,38.2
Damion Lee,ATL,25,25,34,73.5,12,39,30.8,10,19,52.6,5,13,38.5,2,6,33.3,8,40,20
Quinn Cook,GSW,25,27,50,54,17,36,47.2,33,64,51.6,6,10,60,2,8,25,37,84,44
T.J. McConnell,PHI,26,75,118,63.6,57,139,41,51,102,50,3,8,37.5,11,16,68.8,13,34,38.2
Marcus Paige,CHA,24,0,2,0,1,2,50,1,2,50,1,2,50,1,2,50,0,4,0
Dante Cunningham,BKN,31,86,138,62.3,7,32,21.9,13,26,50,19,63,30.2,24,54,44.4,15,51,29.4
Corey Brewer,OKC,32,101,173,58.4,5,23,21.7,5,10,50,13,45,28.9,12,34,35.3,6,28,21.4
Lorenzo Brown,TOR,27,4,5,80,4,9,44.4,4,8,50,0,2,0,0,4,0,2,6,33.3
Aaron Brooks,MIN,33,7,15,46.7,2,7,28.6,8,16,50,1,3,33.3,2,2,100,8,24,33.3
Dante Exum,UTA,22,28,47,59.6,8,20,40,1,2,50,0,1,0,3,7,42.9,2,9,22.2
Xavier Munford,MIL,26,0,1,0,0,1,0,1,2,50,0,0,0,0,0,0,0,2,0
Willie Reed,DET,28,57,80,71.3,18,29,62.1,5,10,50,0,0,0,0,0,0,1,2,50
Adreian Payne,ORL,27,1,1,100,2,2,100,2,4,50,1,1,100,0,0,0,1,2,50
Wade Baldwin IV,POR,22,6,7,85.7,3,7,42.9,1,2,50,0,0,0,0,0,0,4,5,80
Rashad Vaughn,ORL,21,4,8,50,2,5,40,3,6,50,3,6,50,3,4,75,8,27,29.6
Brandon Jennings,MIL,28,6,10,60,4,13,30.8,8,16,50,0,2,0,1,2,50,8,29,27.6
Gorgui Dieng,MIN,28,67,111,60.4,17,49,34.7,84,168,50,9,31,29,5,17,29.4,4,12,33.3
Richard Jefferson,DEN,37,4,8,50,5,10,50,1,2,50,0,0,0,0,0,0,2,7,28.6
Ike Anigbogu,IND,19,1,2,50,0,1,0,3,6,50,0,0,0,0,0,0,0,0,0
Kadeem Allen,BOS,25,5,8,62.5,0,1,0,1,2,50,0,2,0,0,2,0,0,7,0
Tyson Chandler,PHX,35,118,179,65.9,2,6,33.3,1,2,50,0,0,0,0,0,0,0,0,0
Shaquille Harrison,PHX,24,51,87,58.6,1,9,11.1,1,2,50,3,4,75,0,4,0,3,17,17.6
Solomon Hill,NOP,27,5,9,55.6,1,9,11.1,1,2,50,1,3,33.3,0,1,0,3,16,18.8
Joffrey Lauvergne,SAS,26,72,109,66.1,22,68,32.4,4,8,50,0,1,0,0,2,0,0,1,0
Alec Peters,PHX,23,6,10,60,2,2,100,2,4,50,4,11,36.4,1,7,14.3,13,40,32.5
Jahlil Okafor,BKN,22,44,65,67.7,25,55,45.5,7,14,50,0,1,0,1,1,100,0,2,0
Jaylen Morris,ATL,22,7,14,50,2,4,50,2,4,50,0,4,0,0,0,0,2,5,40
Jason Terry,MIL,40,8,14,57.1,2,7,28.6,9,18,50,6,22,27.3,16,34,47.1,18,58,31
Thomas Bryant,LAL,20,5,6,83.3,0,1,0,2,4,50,0,2,0,0,1,0,1,7,14.3
Jameel Warney,DAL,24,5,6,83.3,1,4,25,1,2,50,0,0,0,0,0,0,0,0,0
Serge Ibaka,TOR,28,103,151,68.2,70,136,51.5,100,201,49.8,12,29,41.4,8,16,50,86,251,34.3
Kyrie Irving,BOS,26,172,279,61.6,84,177,47.5,112,225,49.8,11,28,39.3,13,25,52,142,352,40.3
Kevin Durant,GSW,29,176,245,71.8,87,171,50.9,194,393,49.4,11,20,55,11,20,55,151,370,40.8
JJ Redick,PHI,33,48,78,61.5,17,45,37.8,146,296,49.3,17,34,50,15,33,45.5,161,392,41.1
Khris Middleton,MIL,26,117,203,57.6,106,208,51,224,454,49.3,13,40,32.5,24,43,55.8,109,323,33.7
Luke Kennard,DET,21,41,71,57.7,24,77,31.2,60,122,49.2,1,6,16.7,11,26,42.3,69,163,42.3
Klay Thompson,GSW,28,101,153,66,49,107,45.8,196,399,49.1,27,51,52.9,19,45,42.2,183,421,43.5
Damyean Dotson,NYK,24,21,36,58.3,8,14,57.1,21,43,48.8,2,12,16.7,3,4,75,17,51,33.3
Reggie Bullock,DET,27,85,124,68.5,22,69,31.9,35,72,48.6,16,35,45.7,18,43,41.9,91,202,45
Myles Turner,IND,22,111,187,59.4,26,60,43.3,113,235,48.1,1,8,12.5,3,6,50,52,142,36.6
Bojan Bogdanovic,IND,29,150,244,61.5,44,106,41.5,56,117,47.9,24,57,42.1,29,58,50,101,270,37.4
Damian Lillard,POR,27,227,422,53.8,53,126,42.1,114,238,47.9,6,12,50,4,14,28.6,217,603,36
Nikola Jokic,DEN,23,181,280,64.6,122,261,46.7,91,190,47.9,4,10,40,8,11,72.7,98,255,38.4
Karl-Anthony Towns,MIN,22,312,446,70,117,253,46.2,90,188,47.9,15,27,55.6,11,20,55,94,237,39.7
Otto Porter Jr.,WAS,25,116,169,68.6,59,128,46.1,132,277,47.7,12,29,41.4,16,34,47.1,110,247,44.5
Yogi Ferrell,DAL,25,67,124,54,26,71,36.6,84,176,47.7,17,35,48.6,14,25,56,103,298,34.6
Joe Johnson,HOU,36,15,21,71.4,49,107,45.8,42,88,47.7,8,31,25.8,10,28,35.7,22,84,26.2
Jordan Bell,GSW,23,93,133,69.9,13,27,48.1,10,21,47.6,0,0,0,0,0,0,0,4,0
Jose Calderon,CLE,36,25,36,69.4,4,11,36.4,20,42,47.6,2,4,50,7,11,63.6,35,81,43.2
Daniel Theis,BOS,26,82,118,69.5,8,19,42.1,18,38,47.4,6,8,75,2,7,28.6,10,43,23.3
Ivan Rabb,MEM,21,49,74,66.2,11,23,47.8,26,55,47.3,0,0,0,0,0,0,0,0,0
Wayne Selden,MEM,23,34,64,53.1,16,47,34,17,36,47.2,6,16,37.5,2,9,22.2,41,97,42.3
Nene,HOU,35,107,172,62.2,13,31,41.9,16,34,47.1,0,0,0,0,2,0,0,0,0
Ian Clark,NOP,27,58,91,63.7,55,109,50.5,47,100,47,9,27,33.3,12,28,42.9,41,138,29.7
Kyle Korver,CLE,37,24,33,72.7,4,11,36.4,30,64,46.9,29,54,53.7,15,34,44.1,120,287,41.8
Ish Smith,DET,29,152,239,63.6,83,207,40.1,119,254,46.9,4,15,26.7,4,14,28.6,26,69,37.7
Bogdan Bogdanovic,SAC,25,79,135,58.5,48,120,40,90,192,46.9,9,15,60,11,27,40.7,107,276,38.8
David West,GSW,37,102,136,75,44,91,48.4,67,143,46.9,0,0,0,0,1,0,3,7,42.9
D.J. Augustin,ORL,30,91,160,56.9,17,61,27.9,22,47,46.8,13,27,48.1,3,16,18.8,98,227,43.2
Jrue Holiday,NOP,27,279,433,64.4,127,265,47.9,89,190,46.8,16,37,43.2,5,32,15.6,99,285,34.7
Evan Fournier,ORL,25,125,201,62.2,58,141,41.1,59,126,46.8,19,39,48.7,10,24,41.7,97,270,35.9
James Ennis III,DET,27,100,155,64.5,11,32,34.4,21,45,46.7,11,29,37.9,7,24,29.2,32,99,32.3
Vince Carter,SAC,41,29,51,56.9,7,22,31.8,21,45,46.7,3,13,23.1,5,13,38.5,49,137,35.8
Marc Gasol,MEM,33,111,184,60.3,89,261,34.1,125,268,46.6,2,7,28.6,1,3,33.3,106,307,34.5
Dirk Nowitzki,DAL,39,28,37,75.7,26,53,49.1,154,331,46.5,6,12,50,3,5,60,129,319,40.4
Marco Belinelli,PHI,32,71,110,64.5,17,44,38.6,100,215,46.5,10,29,34.5,13,32,40.6,126,332,38
Aron Baynes,BOS,31,104,190,54.7,41,101,40.6,62,134,46.3,0,3,0,1,10,10,2,8,25
Bobby Portis,CHI,23,155,282,55,66,131,50.4,81,175,46.3,6,14,42.9,3,11,27.3,71,197,36
Gerald Green,HOU,32,29,53,54.7,11,23,47.8,18,39,46.2,18,38,47.4,12,41,29.3,80,217,36.9
Dewayne Dedmon,ATL,28,115,148,77.7,43,96,44.8,43,93,46.2,11,31,35.5,16,38,42.1,22,71,31
JaVale McGee,GSW,30,107,151,70.9,17,36,47.2,12,26,46.2,0,0,0,0,1,0,0,5,0
Darren Collison,IND,30,104,164,63.4,9,37,24.3,107,232,46.1,12,34,35.3,19,32,59.4,65,137,47.4
E'Twaun Moore,NOP,29,137,209,65.6,109,214,50.9,50,109,45.9,42,79,53.2,21,47,44.7,64,174,36.8
Kyle O'Quinn,NYK,28,137,199,68.8,41,76,53.9,42,92,45.7,0,1,0,2,3,66.7,2,12,16.7
Tim Hardaway Jr.,NYK,26,132,214,61.7,34,91,37.4,64,140,45.7,11,26,42.3,9,28,32.1,110,354,31.1
Cedi Osman,CLE,23,37,50,74,6,16,37.5,15,33,45.5,6,17,35.3,9,23,39.1,17,46,37
Mario Chalmers,MEM,32,62,117,53,28,80,35,25,55,45.5,5,20,25,8,22,36.4,40,141,28.4
Shabazz Napier,POR,26,59,114,51.8,13,47,27.7,69,152,45.4,8,26,30.8,6,9,66.7,68,183,37.2
Jamal Crawford,MIN,38,29,55,52.7,42,79,53.2,133,295,45.1,15,45,33.3,14,27,51.9,75,238,31.5
Jerami Grant,OKC,24,186,280,66.4,17,46,37,9,20,45,7,23,30.4,8,35,22.9,17,50,34
Milos Teodosic,LAC,31,15,24,62.5,13,26,50,35,78,44.9,2,11,18.2,6,9,66.7,80,212,37.7
Bradley Beal,WAS,24,229,348,65.8,69,191,36.1,186,415,44.8,14,35,40,7,19,36.8,178,474,37.6
Dennis Schroder,ATL,24,206,378,54.5,63,161,39.1,155,346,44.8,3,11,27.3,1,7,14.3,72,237,30.4
Tomas Satoransky,WAS,26,81,122,66.4,39,85,45.9,34,76,44.7,3,11,27.3,18,31,58.1,26,57,45.6
Al Jefferson,IND,33,38,64,59.4,40,68,58.8,33,74,44.6,0,0,0,0,0,0,0,2,0
Isaiah Thomas,LAL,29,48,95,50.5,21,64,32.8,33,74,44.6,4,13,30.8,4,12,33.3,47,162,29
Patty Mills,SAS,29,47,83,56.6,11,31,35.5,69,155,44.5,16,36,44.4,12,26,46.2,125,349,35.8
Jason Smith,WAS,32,17,28,60.7,4,10,40,20,45,44.4,0,4,0,0,7,0,4,21,19
Chris McCullough,WAS,23,11,17,64.7,2,8,25,4,9,44.4,0,0,0,0,0,0,1,8,12.5
Ramon Sessions,WAS,32,21,44,47.7,9,38,23.7,4,9,44.4,2,5,40,1,4,25,5,17,29.4
D'Angelo Russell,BKN,22,76,131,58,56,137,40.9,56,126,44.4,4,11,36.4,6,16,37.5,80,251,31.9
Jerian Grant,CHI,25,66,106,62.3,18,66,27.3,64,144,44.4,3,8,37.5,4,7,57.1,54,168,32.1
Kyle Anderson,SAS,24,130,193,67.4,47,109,43.1,35,79,44.3,5,19,26.3,10,18,55.6,4,19,21.1
Lou Williams,LAC,31,190,326,58.3,88,226,38.9,118,267,44.2,20,68,29.4,11,40,27.5,154,406,37.9
Evan Turner,POR,29,55,86,64,62,135,45.9,99,224,44.2,8,27,29.6,12,34,35.3,22,71,31
Joel Embiid,PHI,24,238,344,69.2,77,205,37.6,129,293,44,3,8,37.5,1,5,20,62,201,30.8
Malcolm Brogdon,MIL,25,128,207,61.8,25,69,36.2,29,66,43.9,11,21,52.4,10,22,45.5,41,117,35
Jabari Parker,MIL,23,79,137,57.7,15,34,44.1,35,80,43.8,1,4,25,6,10,60,24,65,36.9
Shaun Livingston,GSW,32,61,90,67.8,41,88,46.6,70,160,43.8,0,2,0,0,0,0,0,2,0
Jonas Valanciunas,TOR,26,238,350,68,94,199,47.2,28,64,43.8,4,5,80,0,1,0,26,68,38.2
Mason Plumlee,DEN,28,190,276,68.8,24,75,32,7,16,43.8,0,0,0,0,0,0,0,1,0
Jayson Tatum,BOS,20,178,302,58.9,22,79,27.8,93,213,43.7,14,29,48.3,19,32,59.4,71,180,39.4
C.J. Williams,LAC,28,35,48,72.9,13,32,40.6,17,39,43.6,3,14,21.4,4,12,33.3,15,52,28.8
Josh Richardson,MIA,24,130,214,60.7,48,119,40.3,94,216,43.5,13,45,28.9,16,41,39,98,249,39.4
Sindarius Thornwell,LAC,23,48,105,45.7,19,45,42.2,10,23,43.5,7,16,43.8,5,13,38.5,11,29,37.9
Cody Zeller,CHA,25,62,109,56.9,11,21,52.4,10,23,43.5,0,0,0,0,0,0,2,3,66.7
Malachi Richardson,TOR,22,7,22,31.8,1,5,20,10,23,43.5,2,4,50,1,5,20,9,31,29
Rondae Hollis-Jefferson,BKN,23,184,313,58.8,65,174,37.4,80,184,43.5,6,19,31.6,3,10,30,4,23,17.4
Deyonta Davis,MEM,21,121,161,75.2,10,35,28.6,30,69,43.5,0,0,0,0,0,0,0,0,0
Ricky Rubio,UTA,27,84,165,50.9,42,103,40.8,124,286,43.4,21,50,42,8,29,27.6,67,194,34.5
Thon Maker,MIL,21,52,100,52,14,37,37.8,33,76,43.4,5,10,50,11,37,29.7,15,55,27.3
Trey Lyles,DEN,22,131,197,66.5,33,82,40.2,23,53,43.4,8,30,26.7,9,14,64.3,66,171,38.6
Markieff Morris,WAS,28,101,151,66.9,60,114,52.6,93,215,43.3,15,36,41.7,6,25,24,55,141,39
Tyus Jones,MIN,22,54,86,62.8,32,69,46.4,19,44,43.2,13,35,37.1,3,10,30,29,82,35.4
Devin Booker,PHX,21,126,213,59.2,55,163,33.7,127,294,43.2,13,30,43.3,5,15,33.3,129,335,38.5
Nikola Vucevic,ORL,27,148,203,72.9,96,223,43,91,211,43.1,0,1,0,1,1,100,62,200,31
James Johnson,MIA,31,182,267,68.2,37,85,43.5,33,77,42.9,8,25,32,16,48,33.3,33,111,29.7
